key;types;long_name;standard_name;units;conventions;coordinates;positive;valid_min;valid_max;format;_FillValue;axis;resolution;comment;default_value;flag_values;flag_meanings;reference;coordinate_reference_frame
string;string;string;string;string;string;string;string;numeric;numeric;string;numeric;string;numeric;string;string;string;string;string;string
VTDH;float32;significant wave height;;meters;;;;0;99.999;%6.3f;99.999;;;;;;;;
VTZA;float32;aver zero crossing wave period;;second;;;;0;500;%3.0f;999;;;;;;;;
VZMX;float32;maxi zero crossing wave height;;metre;;;;0;10;%5.2f;99.99;;;;;;;;
WDIR;float32;wind direction rel. true north;wind_to_direction;degree;;TIME DEPTH LATITUDE LONGITUDE;;0;360;%3.0f;1E+36;;0.001;Horizontal wind speed;;;;;
WETT;float32;wet bulb temperature;;degree_Celsius;;TIME DEPTH LATITUDE LONGITUDE;;0;90;%5.1f;1E+36;;0.001;;;;;;
WMSP;float32;wind speed - max aver per 2 mn;wind_speed;meter/second;;TIME DEPTH LATITUDE LONGITUDE;;0;200;%4.1f;1E+36;;0.001;Horizontal wind speed;;;;;
WSPD;float32;horizontal wind speed;;meters/second;;;;0;300;%6.2f;999.99;;;;;;;;
WSPE;float32;wind speed eastward component;;meters/second;;;;0;100;%7.3f;999.999;;;;;;;;
WSPN;float32;wind speed northward component;;meters/second;;;;0;100;%7.3f;999.999;;;;;;;;
XCO2;float32;co2 mole fraction in dry gas;;ppm;;;;0;5000;%8.3f;9999.999;;;;;;;;
YEAR;float32;year;;yyyy;;;;1900;2100;%4.4d;9999;;;;;;;;
